Cameroon,,,,,,,,,,,,1122.0,1229.0,1326.0,1390.0,1508.0,1612.0,1664.0,1900.0,2450.0,2287.0,1754.2467,1710.106,1961.0879,2198.236,2352.7996,2536.5469,2758.029,2769.2869
Canada,3647.0,4640.0,5228.0,5694.0,6977.0,6154.0,6339.0,8244.0,5852.0,6574.0,11261.0,12486.0,13791.0,13952.0,15938.0,18297.0,20837.0,23754.0,25784.0,26836.0,30275.0,29141.191,31594.242,36942.562,39491.57,41896.426,42476.344,43702.08,42493.63
Cape Verde,,,,,,,,,,,,1031.0,1047.0,1135.0,1262.0,1347.0,1457.0,1251.0,1352.0,1626.0,1898.0,2029.5961,2594.0996,3583.587,4368.0547,5985.107,6273.0,6461.3506,5831.9985
Central African Republic,,,,,,,,,,,,1369.0,1492.0,1567.0,1486.0,1435.0,1368.0,1345.0,1234.0,1146.0,1073.0,965.19336,885.8864,963.94617,853.182,901.8513,916.0,592.92346,613.78937
Chad,,,,,,,,,,,,851.0,926.0,974.0,929.0,843.0,800.0,918.0,583.0,601.0,692.0,698.739,694.10504,716.04236,1200.2726,1422.2312,1742.654,1648.0383,1463.5312
Chile,3379.0,3386.0,3647.0,4020.0,4806.0,4248.0,4779.0,5609.0,2950.0,4584.0,5939.0,6252.0,6285.0,6781.0,7320.0,8053.0,8520.0,6868.0,9024.0,7992.0,9199.0,11773.301,14433.319,15211.623,16478.973,18804.03,20690.797,21715.713,20205.87
China,,972.0,,,,,,,1039.0,1065.0,,1047.0,1189.0,1057.0,1152.0,1178.0,1431.0,1519.0,1930.0,2444.0,3045.0,3227.7441,4219.644,4730.3545,6067.5913,8190.1123,10946.834,14138.955,17225.969
Colombia,1109.0,1089.0,1066.0,1160.0,1317.0,1707.0,2000.0,2375.0,2409.0,2780.0,3268.0,3529.0,3811.0,3980.0,4264.0,4581.0,5348.0,5918.0,6786.0,6741.0,7442.0,7888.1055,8770.583,8496.792,9211.279,10846.737,12129.81,13367.445,12377.135
Comoros,,,,,,,,,,,,559.0,606.0,679.0,888.0,928.0,966.0,1009.0,1065.0,1168.0,1152.0,1185.5142,1141.6016,1204.4023,1247.2749,1419.3671,1509.0,1705.7402,1869.9441
Congo,,,,,,,,,,,,1758.0,1884.0,1999.0,2079.0,2275.0,2582.0,2794.0,3075.0,4664.0,3908.0,3940.9717,3988.8772,4159.2227,4560.5127,5081.1313,6300.0493,5315.17,4203.1104
Costa Rica,,,,,,2589.0,2724.0,2686.0,2265.0,2550.0,3339.0,3370.0,3668.0,4328.0,4720.0,5574.0,6564.0,7182.0,7828.0,7065.0,7270.0,8038.7676,8446.781,9319.767,10086.783,11935.158,12800.048,13959.342,13996.39
Cote d'Ivoire,,,,,,,,,,,,1714.0,1824.0,2002.0,2691.0,2758.0,2887.0,3017.0,3253.0,2703.0,2444.0,2011.5693,2179.0356,2352.8564,2280.788,2435.2705,2648.7744,3328.9795,3682.1353
